epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.06892,0,126.734,0,0,0,0,0,0,29.8046,0,0,0,0
2,11.8588,0,100.639,0,0,0,0,0,0,32.2935,0,1.802e-05,1.802e-05,1.802e-05
3,17.1287,0,108.909,0,0,0,0,0,0,37.6992,0,3.208e-05,3.208e-05,3.208e-05
4,22.4578,0,73.9619,0,0,0,0,0,0,49.6895,0,4.218e-05,4.218e-05,4.218e-05
5,27.6096,0,67.9575,0,0,0,0,0,0,65.4109,0,4.832e-05,4.832e-05,4.832e-05
6,33.1582,0,65.1495,0,0,0,0,0,0,84.0652,0,5.05e-05,5.05e-05,5.05e-05
7,39.7232,0,60.872,0,0,0,0,0,0,94.1043,0,4.872e-05,4.872e-05,4.872e-05
8,46.3481,0,58.3079,0,0,0,0,0,0,93.2795,0,4.298e-05,4.298e-05,4.298e-05
9,53.0032,0,53.8949,0,0,0,0,0,0,88.4242,0,3.328e-05,3.328e-05,3.328e-05
10,59.5887,0,53.4186,0,0,0,0,0,0,84.548,0,1.962e-05,1.962e-05,1.962e-05
